,Year,Course Code,Course Title,Instructor,School,Term,"Day, Period",Classroom,Course Description,Language
50,2024,BSPX102S,First Year Seminar B 12,"TRAN THI NGOC, Phuong",SILS,spring semester,Mon.5,undecided,Undertaking research in second language teaching and learning requires a b......,English
51,2024,BSPX102S,First Year Seminar B 13,"CHEUNG, Mong",SILS,spring semester,Tues.3,11-820,This first year seminar is designed to encourage students to think systema......,English
52,2024,BSPX102S,First Year Seminar B 14,"YAMASHITA, Hikaru",SILS,spring semester,Wed.5,11-909,International order is one of the most important-- and the most contested-......,English
53,2024,BSPX102S,First Year Seminar B 16,"SIDOLI, Nathan Camillo",SILS,spring semester,Mon.3,7-312,"In this course, we will explore some of the historical contexts of Greek m......",English
54,2024,BSPX102S,First Year Seminar B 17,"ITO, Yurika",SILS,spring semester,Fri.4,11-820,【Course Delivery Method】 More than half the sessions will be held in-pe......,English
55,2024,BSPX102S,First Year Seminar B 18,"KATO, Junko",SILS,spring semester,Tues.3,11-801,[IN-PERSON COURSE] Nothing better illustrates American irony than the exis......,English
56,2024,BSPX102S,First Year Seminar B 19,"YOSHIMOTO, Mitsuhiro",SILS,spring semester,Wed.4,11-915,Anime movies and TV series are entertaining and fun to watch. But does thi......,English
57,2024,BSPX102S,First Year Seminar B 20,"KATO, Junko",SILS,spring semester,Tues.2,11-801,[IN-PERSON COURSE] This course aims at examining how the nation based on t......,English
58,2024,BSPX102S,First Year Seminar B 21,"TANAKA, Aina",SILS,spring semester,Thur.3,11-909,This introductory seminar course discusses the current status of English a......,English
59,2024,BSPX102S,First Year Seminar B 26,"GRAY, Matthew Barry",SILS,spring semester,Tues.4,11-806,Course Delivery Method: Face to Face This course is designed to introduce......,English
60,2024,BSPX102S,First Year Seminar B 27,"MITANI, Junko",SILS,spring semester,Tues.3,11-815,"Face to Facre All children have the same rights. In reality, however, ther......",English
61,2024,BSPX102S,First Year Seminar B 28,"MITANI, Junko",SILS,spring semester,Tues.2,11-808,"Face to Facre All children have the same rights. In reality, however, ther......",English
62,2024,BSPX102S,First Year Seminar B 31,"TRENSON, Steven",SILS,spring semester,Thur.2,10-403,【Course Delivery Method】 Face-to-Face Japanese culture has been influenc......,English
63,2024,BSPX102S,First Year Seminar B 35,"BERNARD, Rosemarie",SILS,spring semester,Tues.4,11-508,"Shinto' 神道 refers to symbolic, aesthetic, religious and ritual practices......",English
64,2024,BSPX102S,First Year Seminar B 36,"HSIAO, Li Chun",SILS,spring semester,Thur.3,11-914,· This course will explore cross-cultural and historical issues related......,English
65,2024,BSPX102S,First Year Seminar B 48,"NAMAI, Kenichi",SILS,spring semester,Mon.3,11-807,Face-to-Face This course’s main aim is to develop fundamental English skil......,English
66,2024,BSPX102S,First Year Seminar B 49,"MORIYAMA, Hiizu",SILS,spring semester,Wed.3,11-802,This seminar course is for those students who wish to improve their abilit......,English
67,2024,BSPX102S,First Year Seminar B 38,"WANG, Yijen",SILS,spring semester,Mon.3,11-815,This seminar is designed for students who are interested in teaching a sec......,English
68,2024,BSPX102S,First Year Seminar B 39,"MANNING, Julian",SILS,spring semester,Mon.4,11-814,This course is designed to be part I of a two-part course in conjunction w......,English
69,2024,BSPX102S,First Year Seminar B 40,"TRAN THI NGOC, Phuong",SILS,spring semester,Wed.3,undecided,Technology has had an enormous influence on our lives in the ways in which......,English
70,2024,BSPX102S,First Year Seminar B 41,"AOTANI, Yuko",SILS,spring semester,Thur.3,11-711,This class will help students read and understand written material in orde......,English
71,2024,BSPX102S,First Year Seminar B 42,"KATO, Junko",SILS,spring semester,Fri.3,11-804,[IN-PERSON COURSE]  The Civil War (1861-65) was one of the most decis......,English
72,2024,BSPX102S,First Year Seminar B 43,"TRAN THI NGOC, Phuong",SILS,spring semester,Tues.5,undecided,Technology has had an enormous influence on our lives in the ways in which......,English
73,2024,BSPX102S,First Year Seminar B 44,"DIMMER, Christian",SILS,spring semester,Thur.3,11-807,※Face-to-Face delivery Did you ever wonder why urban Japanese looks so dif......,English
74,2024,BSPX102S,First Year Seminar B 45,"AOTANI, Yuko",SILS,spring semester,Tues.3,11-609,This class will help students read and understand written material in orde......,English
75,2024,BSPX102S,First Year Seminar B 46,"ERBER, Pedro Rabelo",SILS,spring semester,Wed.4,11-816,This course aims at introducing first-year students to the basic questions......,English
76,2024,BSPX102S,First Year Seminar B 47,"TANAKA, Aina",SILS,spring semester,Thur.4,7-305,This seminar course explores the complex relationships between language an......,English
77,2024,LAWG301S,Seminar on Governance 03,"AKIBA, Takeshi",SILS,spring semester,Wed.4,11-803,"This seminar will examine rights, politics, and society in a comparative p......",English
78,2024,POLX301S,Seminar on Governance 04,"MORIKAWA, Tomonori",SILS,spring semester,Tues.5,11-504,※ This lecture course will be provided through regular face-to face in-cla......,English
79,2024,ARSI38ZS,Seminar on Governance 05,"GRAY, Matthew Barry",SILS,spring semester,Wed.5,11-905,Course delivery method: Face to face This seminar is designed to provide ......,English
80,2024,INTB351S,Seminar on Governance 06,"UESUGI, Yuji",SILS,spring semester,Fri.4,7-204,Face-to-Face (F2F) This seminar deals with governance issues related to pe......,English
81,2024,INTA322S,Seminar on Governance 07,"CHEUNG, Mong",SILS,spring semester,Thur.3,11-813,This seminar is designed to encourage students of international relations ......,English
82,2024,HISV385S,Seminar on History 03,"STERENBERG, Matthew Kane",SILS,spring semester,Wed.4,11-808,"This advanced seminar is for students who have a keen interest in history,......",English
83,2024,INTA301S,Seminar on International Relations 01,"BACON, Paul Martyn",SILS,spring semester,Wed.6,11-710,The method of course delivery will be Face-to-Face (F2F) (*Please note tha......,English
84,2024,LAWE381S,Seminar on International Relations 02,"IKESHIMA, Taisaku",SILS,spring semester,Tues.2,11-906,This seminar will provide students with necessary knowledge and view-point......,English
85,2024,INTA334S,Seminar on International Relations 06,"SHU, Min",SILS,spring semester,Thur.3,11-818,The first part of the seminar focuses on major academic works related to t......,English
86,2024,PSYX311S,Seminar on Mind and Body 01,"AZUMA, Rayna",SILS,spring semester,Tues.4,11-707,"Philosophers, scientists and scholars from other fields have always been ......",English
87,2024,PHYP302S,Seminar on Matter and Information 02,"INABA, Satoshi",SILS,spring semester,Wed.5,11-707,"The purpose of this seminar is to gain the basic knowledge of physics, ast......",English
88,2024,PHLS301S HISV301S STSX321S,Seminar on Matter and Information 03,"SIDOLI, Nathan Camillo",SILS,spring semester,Wed.5,11-914,"In this class, we will study various aspects of the way science and techno......",English
89,2024,INFY301S,Seminar on Matter and Information 05,"Wang, Jinfang",SILS,spring semester,Thur.2,11-814,IMPORTANT: This course will be taught Face-To-Face. This seminar is desig......,English
90,2024,PHLV301S,Seminar on Philosophy and Religion 01,"NAGASAKA, Masumi",SILS,spring semester,Wed.4,11-812,"{Course Delivery Method] Face to Face In this seminar, students are invite......",English
91,2024,ARSI382S,Seminar on Philosophy and Religion 02,"SAKURAI, Keiko",SILS,spring semester,Fri.4,11-816,This seminar is specifically designed for students with a keen interest in......,English
92,2024,ARSE382S,Seminar on Culture 11,"DIMMER, Christian",SILS,spring semester,Fri.5,11-910,※Face-to-Face delivery This advanced seminar is intended for students who ......,Japanese/English
93,2024,CMFC314S,Seminar on Culture 13,"RHEE, Maji Christine",SILS,spring semester,Wed.3,11-809,The objective of this course is to help students understand Korea and Asia......,Japanese/English
94,2024,CMFE361S,Seminar on Culture 14,"YOSHIMOTO, Mitsuhiro",SILS,spring semester,Wed.5,11-915,[授業実施方法:Face-to-Face] The focus of the seminar is media and visual c......,Japanese/English
95,2024,LITJ364S,Seminar on Expression 05,"SAKAKIBARA, Richi",SILS,spring semester,Wed.5,11-814,"This semester's classes will be conducted in the ""face-to-face"" format. Th......",Japanese/English
96,2024,CMFE381S,Seminar on Expression 10,"OWADA, Eiko",SILS,spring semester,Tues.2,11-911,"In this class we meet in the classroom regularly. In this seminar, we wil......",Japanese/English
97,2024,GENX201S,Intermediate Seminar 04,"ITO, Takeshi",SILS,spring semester,Thur.4,7-205,This curriculum is an advanced course for “SELF LITERACY” (First Year Semi......,Japanese/English
98,2024,GENX201S,Intermediate Seminar 06,"OWADA, Eiko",SILS,spring semester,Tues.3,11-906,"We will meet in the classroom regularly. In this seminar, we will work on......",Japanese/English
99,2024,GENX201S,Intermediate Seminar 13,"MASUKO, Mayumi",SILS,spring semester,Wed.4,11-912,* F2F + remote [some sessions are likely to be conducted on Moodle because......,Japanese/English
100,2024,GENX201S,Intermediate Seminar 16,"FUKUYAMA, Yuko",SILS,spring semester,Wed.3,11-606,This seminar is primarily designed for students who are willing to study h......,Japanese/English
101,2024,GENX201S,Intermediate Seminar 17,"HIGAKI, Julie",SILS,spring semester,Thur.3,11-809,**[face-to-face] Classes will be held in person during the first and last ......,Japanese/English
102,2024,GENX201S,Intermediate Seminar 19,"NAKAMURA, Chie",SILS,spring semester,Thur.3,7-304,"This seminar builds upon foundational knowledge in psycholinguistics, delv......",Japanese/English
103,2024,HISV384S,Seminar on History 02,"OKAMOTO, Koichi",SILS,spring semester,Fri.4,11-813,This seminar is for those planning to concentrate their senior year in the......,Japanese/English
104,2024,ARSH383S,Seminar on History 05,"FUKUYAMA, Yuko",SILS,spring semester,Mon.2,11-801,This seminar is designed for those students who have an interest in Italy ......,Japanese/English
105,2024,INTA333S,Seminar on International Relations 03,"KATAOKA, Sadaharu",SILS,spring semester,Tues.5,11-604,The teaching methodology of this class is F2F style. The aim of this cours......,Japanese/English
106,2024,MATX341S,Seminar on Matter and Information 04,"NISHIYAMA, Yoichi",SILS,spring semester,Thur.2,11-910,Course mode: Face-to-Face (+ Remote) The purpose of this seminar is to pro......,Japanese/English
107,2024,PHLV381S,Seminar on Philosophy and Religion 03,"TRENSON, Steven",SILS,spring semester,Tues.2,11-804,【Course Delivery Method】 Face-to-FaceThis is a seminar in which we discu......,Japanese/English
108,2024,PHLV382S,Seminar on Philosophy and Religion 04,"HIGAKI, Julie",SILS,spring semester,Fri.4,3-809,**[face-to-face] Classes will be held in person during the first and last ......,Japanese/English
